00626a,a956fb
42c259,8e45a6
000d37,c5f248
000d38,680e35
000d39,784b90
000d4d,0b5370
f762ef,0755b5
000d4a,ec0a92
c1425e,543b50
000d4c,8f4280
0061a4,479052
000d60,0e299a
000d61,ea7a49
1bc9a5,5cf0b4
0061a0,1be6a5
b0b456,661fbe
fe4c5b,8dfc27
000d66,8cfa4b
fc0c94,4d29fd
000d69,c1895a
ed3951,117823
0061a8,49b5e6
000d63,922d48
950c48,7d1bb3
0061a9,5008a6
000d64,4191bb
0061a6,b06bcf
0e44f8,009459
0061a7,e89296
128723,92eee8
f7b2a8,d7772d
7f7c8e,2436f9
000d3c,e1650f
000d3d,38a5e9
000d3e,f05839
57cb47,6f9aeb
000d3f,454fe1
000d3a,999801
7a5821,3adf45
000d3b,332f60
c81d0c,dd3cde
ed393f,c187d1
3192df,c0a150
000d55,b084bf
000d56,293b05
000d57,5e8640
c777d2,e368ce
000d58,91af48
000d54,002dfe
0eca20,8de13e
fbec89,c1d0fc
4177b8,13d3c6
00b28b,2cd48d
fb66f6,7a35ed
00b28c,34f4b2
7e00a8,462af6
00b28e,430ba7
eb8307,129ba4
dda538,f115f8
ad6906,a2b25c
048bfd,93a210
393427,88fdc1
000d03,7c655c
00b292,f72495
1c1f1f,20783d
00b297,10bf7c
00b298,c732b1
76a404,d25993
000d08,287fdc
709f52,53c9aa
000d09,158f82
7d081e,83ad21
000d04,9e6c62
000d05,415946
00b290,6f258f
000d06,0c06cc
04dbd6,05dda9
00b27a,ba5cd4
7319ca,6973be
00629b,c94aca
00b27f,72cd41
00b27c,ac12cb
00b27d,a5727e
00b288,f5c0f3
ae0d8a,f6a024
00629e,7799b9
c7fd15,02799b
00b283,744df3
00b280,9ced3a
00b287,06a57a
00b284,4cc40a
00b285,5e4a3e
ed3927,ef8940
00b26f,af6f23
2ee928,952cd0
6334e3,387237
5745e2,2238c7
1bff35,16263a
000d0a,1334b7
602fa6,62865b
b0b48e,8e3a5f
000d0c,a8550e
96f6df,35bd75
000d0d,75a2b9
000d0e,0c368d
000d0f,1af66f
000d22,1809c0
000d23,8d721e
000d20,7e39b4
000d21,1815cb
7319b8,9a5256
46681b,ca0291
946809,8eefb7
000d26,e3417b
000d27,bac001
3a8891,d83e44
000d29,96ed1b
00b29c,3b659d
00b29d,07ecc8
78940c,9c0ce8
00b29e,ae2160
d40b41,0085f0
00b29f,6d4f6b
3dbc9e,609dbb
c5bd6c,bed43c
000d11,0fcf11
8bbb39,c877db
c7c7e3,4d5e72
ae61fa,3ad055
15bb73,5a71f3
452205,9e6d64
000d19,2819f4
000d15,9c5e50
950c8c,9c2eb6
000d16,54c9b9
fbb6f3,23deef
000d17,0e4892
c56c8c,926cef
000d18,aca3ab
00b1e0,f172d5
00b1e1,f6eb3d
3dbbcf,851907
47b0cd,565463
00b1e5,549719
00b1e3,760028
00b1cf,cc7713
ccfa22,6b0f6c
dd5590,7c8f62
1f2501,12c35f
00b1ce,5ae65b
907232,f19946
00b1cb,cb4eed
00b1ca,010435
90c206,0d6180
00b1d5,a3d843
0061fe,b26ad9
0061ff,1bc085
0061fc,f542a9
04a7e7,e1de1c
00b1d9,52090c
88fbb1,62f436
f9f498,e35eac
0061f2,7dab0b
00b1d0,3a5399
2854da,50a6dc
0061f0,48bc1a
000d9e,ac4993
000d9f,729c62
504c86,19275b
effd56,b49ea4
0061f9,dd0107
00b1be,988468
0061f7,0d6b54
13d024,132005
cd1a2d,78a6e4
0061f3,200f4f
0061f4,cdd74e
e37ee9,6c0041
00b1ba,873fc5
00b1c6,7022a2
99dc5e,2eaa6c
00b1c7,55689d
0061ef,9e76a9
00b1c5,ad30ba
0061ed,864ca8
0061ee,07cc7f
38bcf4,437a3e
0061eb,7bbbcc
0061ec,ea61bd
00b1c9,300b7d
36d384,27fea2
73f3e4,9020a5
b4a983,34408e
c8c1b2,443066
a724c7,2fa798
00b1ef,c0c859
a2ba0d,d96ba5
73f3cd,1d6519
00b1ed,3089d7
00b1ee,4e732d
b7094d,9ddc21
aeb278,0ab9e3
00b1ec,17fefe
442859,1c14aa
00b1f7,a3776e
00b1f1,b08ae1
00b1f0,9ec424
00b1f5,938886
00b1f3,b63d9b
925bd5,8ce94e
528c52,1ff775
00b1df,5177c6
f45f9e,0cdd7b
36839d,e439a0
bc9215,339668
00b1da,727fd4
2a4d94,4a06b4
0311b6,e0cc4b
94b806,1f47b5
00b1e9,7e2371
000d6f,2de90c
000d6c,024140
00b1a1,592e2b
000d6d,c3215b
86bba4,781cfe
000d6e,e94477
0061c6,5a0b75
0061c7,3f5649
000d82,dde6ec
0061c2,a036c1
c77906,4f9ed9
be4819,8e6d0f
0061c3,bf0ff0
000d89,459b92
000d86,08c9e8
0061c8,52d5b9
fe4ae9,2a5b4a
8147f7,9a8e3f
000d87,77a209
7de192,b1342b
0061bf,15d19d
000d7a,6cd503
dfe580,c00fba
0061bc,ab9724
06e7f8,9845e1
0061bd,7f5d79
212642,531875
0061bb,0ce0b5
3bd230,f8d6f6
584175,b1dcfe
000d5f,184173
000d5a,50c446
3b2bef,d9171a
000d5b,62b254
000d5d,9c8ff6
f1ff3a,49c4a0
000d70,915d22
0061b6,a0d7a8
d3eaee,879ff8
7d90a9,fa3d0c
000d71,ab4e62
0061b3,92ddaf
0061b4,5e8640
0061b2,0ed834
0061b0,94c14b
a9b595,53265a
000d79,b6090f
000d73,b982b2
000d74,4b9938
000d75,d12688
0061b8,d99f47
0061ad,d42c6e
212658,2dac17
000d6a,f4f7a1
229fbe,04f55a
0061e0,2b6347
0061e1,e991fe
000d8d,1f61d2
264a6e,7cff96
00b1c2,963ef9
0791c0,008a30
000d8f,38ebbe
00b1ad,6c9cc2
0061e6,04408d
00b1ab,25bb6c
0061e7,9e3ef7
0061e4,9963ee
00b1af,4b2551
0061e3,7e63bd
000d9a,bc8297
000d9c,580b9d
00b1b3,fb307f
5e84a6,2685e2
e44535,40172e
0061dd,1f6884
0061da,0f0f96
0061db,b6eff5
00b1b8,f3e9c8
7d06dc,2bf3e3
0061d0,c1259b
000d7c,b4f40d
000d7d,5f07d9
000d7e,e778d3
6a1ddc,a1f7da
d15c43,899b1d
000d93,a0a1fc
000d94,20174c
0061d6,4bf698
d6f103,04de8a
0061d3,4f4426
000d90,22ba00
0061d2,91c823
000d99,9ef91d
d4b164,f369e3
288a24,a98ed4
000d97,587bbc
0061d9,9a6a11
c56c15,ee2dd9
00b1a4,8a311f
000d8b,9a4da6
3fc812,16f073
000d8c,558900
0061ce,ed8b6f
0947f2,63237c
00b1a8,eb5ca7
0061cc,bc2e79
0061ca,48193d
00b1a7,3e4a49
57478c,9b3683
000cc5,54732c
000cc6,078d84
000cc0,d589f9
006316,9d6881
000cc1,28b216
73f50b,14bbab
006317,d6765e
000cc2,4a189c
006314,a82e7d
000cc3,d0333b
421c9e,bb05fa
000cc8,30441e
32046d,2851d0
31e46a,64a9f4
000cbd,682639
000cbe,49c132
18c031,0afe73
000cbf,a94552
9bf50c,7f03b5
00630e,a17487
00630f,911635
b48e16,c4cbda
000cba,7820fb
000cbb,5c0674
00630d,522707
006324,c80788
aeb218,394653
f27507,4a28ae
000cd0,072da4
4666f5,85f4ac
d2213b,d63d02
006309,747e93
78e48f,c016d3
000cb5,00879b
006307,1868e4
000cb6,545cfd
09cba2,3ef3e9
006305,3052c7
000cb0,a304fc
006306,d7a28a
7fcab8,104bd3
2c5937,2c40b6
577af4,e15621
417805,7f6fcf
000cb8,f27b29
000cb9,a0176d
fdf744,5edda4
000cad,3e1836
000cae,c1716a
ac2267,d8dd71
ccfa9b,939896
006312,9748cb
f45f10,d3c365
006310,2d256f
000caf,4b8cd9
e62f6f,a89d3f
ee3321,bfc503
000ce6,cd7fbd
000ce7,a96e69
000ce8,a80ff8
00b318,bc03b4
000ce2,65659b
006338,71ef7a
000ce3,e2367a
a1bfa0,19f3af
94b871,a8ff35
000ce4,376442
006336,2d6218
78e49a,b6a264
19afea,857f84
006337,d1cb58
00632c,e3ed3c
00b312,2ac00a
ae0bf5,a28564
00b313,35a7a1
00b311,d67800
00b316,b13e4c
fb9afb,6de6b4
00b314,8195b7
00b315,2857e8
000cde,536dce
b06431,bf2d5d
00632e,97e200
000cdd,2138c0
006345,c9b887
000cf0,65e049
000cf1,f45471
006343,ee55fb
000cf2,9eb09c
006341,5015b7
006342,0cbdbc
9c1513,9295d6
e443ce,1dc132
ead8f6,2b9724
000cd5,c57790
000cd6,2cf19a
ee3334,13043e
000cd7,12cc21
f76486,9cc2a3
00b308,9269a1
000cd1,061bc3
006327,d41efe
000cd2,02c9b9
edbcd2,56016b
006325,6fa7f8
000cd4,a87b1e
971844,b85ca4
00b301,419221
4bb637,f48f0d
00631c,b6caf0
00b302,732d3c
33ce8d,b5860d
00631a,8d8d59
000cd9,248f6a
00b306,45d6cd
53516e,2a465f
2d51f5,fdc2bf
b80364,baebb0
0b955a,607232
000ccf,d83587
956235,6e91ca
00631f,825d35
000cca,083f98
000ccb,402a5e
00631d,b58a0d
000ccc,f5ae03
00631e,c02e2a
006334,f15890
006335,647d64
000ce0,ed5c23
000ce1,70db0e
e3cf95,29e9d1
006333,5f74e8
006330,9225d7
99a83e,f9f1c5
63351d,01dc67
a75a37,a2eda9
b0b2e6,012f42
b9ccb4,665ed5
f45f37,364d77
8dc71d,61408a
7e0124,b87250
4e1674,ceac56
88c89e,a9e577
b73e16,05007a
ccfa4d,f26dc6
b0b2f7,f1ec50
fbb72f,5c3f00
e37ea0,fcc808
d39ab0,4f0076
4a204c,100221
00b1fb,c4d7a5
00b1fe,e454a3
c81cad,7ac2c3
734ec4,494549
c7c94e,5be16f
000ca2,cc6e52
000ca3,3fc1fc
000ca5,244c22
cfaa40,24400a
000ca1,f2dc05
0e4534,b3c879
7ba18b,cd7b6d
598745,bf1f01
000ca6,9938ee
000ca7,67dfe3
d88b95,566eae
fa2180,0cc256
000ca9,aec515
7de132,41c386
53a18c,6a98b2
ab5d13,d38a0c
006301,2e54dc
fc0ab5,e1e2ee
006302,4b4830
5b7db3,7eb500
006300,7fef03
7f4783,7d7e65
421c83,245136
1a3560,00bd35
ee3378,dca830
57477f,d29a55
d2215a,160862
577ad3,3f335e
1285c7,8bc812
aff889,48aa31
5a0432,911a81
107b66,e039b2
7653eb,f5a55c
f45f75,e7dd86
494af5,27ec59
386e61,f0caf9
e93488,5cd50e
00b12a,1cbb94
00b12b,ea190c
000afa,d1a8ca
00b136,88da8b
00b137,a44015
000afc,3a94bc
00614e,cb2829
00b134,77aa8b
00614f,8dd9fa
00b138,6204d6
00b139,398907
44ae0c,38e35f
006162,438e6c
bb95d3,6be675
6e69e2,94d6ac
7de311,a4caa7
000afe,83c2e7
00b132,6ee8f7
000aff,dc7b6e
28566d,e7f58a
00b130,351544
006169,93660b
c5bacb,f6f8c5
00b11d,c839ba
00b11e,72e664
006167,f7f44c
e37f50,72fe97
00b11c,852a3c
a57009,e5fc84
006163,2a6732
50f00e,70a6cb
98101c,6f13c7
76555c,06afbd
fc6304,b4d1a9
000af6,78eb02
000af7,a839b7
000af8,6026e5
a47668,c2e923
000aea,907c7a
96f691,1f2699
00b126,fe20b7
54e605,48e7b2
000aeb,5c06b3
00613d,d8620d
000aec,d49e05
00613e,717dfd
00613b,ec9c81
00b129,bf5697
00613c,2d70d6
006150,a154ba
006151,16de82
ccc53c,a9174f
99a65f,c5f411
000aed,976101
000aee,1b91cd
000aef,ca86f9
006158,3e47fb
00b10c,4ab195
00b10d,a2bfbb
006157,b21b17
00b10e,fe035a
00616b,1ca3ce
60d3e7,cb6ba5
3dbb57,a5f9fc
00b158,20503b
f69ef5,aff87e
00b156,2135fa
00b157,6b5fa9
9ddde2,4dc392
00616d,df2ff8
006183,395bd5
1284f2,22c233
006184,4d8285
00b151,d3abab
006181,5061e6
b9cf53,604df0
00b154,0416b0
d854d5,1cf1ba
00b153,79f916
00b13f,61892e
006189,f6d2e6
006187,3c4c9d
006188,bd2bbe
a33014,9de4ed
006185,76c3fd
006186,260d7d
00615a,90ae09
00b13b,974187
00b13c,50cfea
00b13a,7aae53
00b147,16a17a
d05fc1,2d196b
ceaeba,b5f158
00615f,c9c803
00615e,552d21
00615b,9509e6
4df548,89cbd5
00615c,0aa611
006172,ba3fc0
f69ee9,c40a5f
38bf7f,de548b
7c996e,6e9915
2d5429,61ae51
00b144,70412e
8d74f9,c01d03
f1feda,e33ae1
00b12e,5c0757
006178,6c50d8
df94bf,d85034
006174,88aafb
000ac7,9dbf76
132a0d,254a55
000ac8,417e1f
82442c,21132b
000ac3,cf7b57
006119,89f23d
006117,71b746
0c0546,bbfd5d
00610b,1b8ecd
559004,10f511
f94ebc,f552f6
824442,d0e62a
000abf,41e362
000aba,abfcfa
cbfec5,402ec9
8482ea,0f4ef2
000abb,d30cd5
7f490a,67c067
a3ffcc,e1e36a
000abc,5f3542
00610e,bbf9fe
fef1d4,6db71f
000abd,3ef79d
53a019,2b0859
41c8b5,8ad424
006126,7e8070
2fe434,92e613
000ad1,58b719
006123,7b816a
000ad2,11ff35
006124,f80f3a
d5f4bf,d0f9bf
006120,1dcd50
000ab5,af5b82
000ab7,4c5d52
d12661,16a829
000ab8,bad91e
e1e3ba,11cf5b
285640,f90a0b
000ab2,5ff03d
54965f,fd88e9
000ab3,87f416
421e33,a2f7b6
006105,91e674
000ab4,615623
000ab9,1c5726
bf4052,ecdc82
5e8639,7990d6
000aaf,27e2c8
75deab,c1a13c
824435,b6c344
000aaa,fa6d83
000aab,d2e638
006114,8cae39
000ac0,c5083b
006112,2ceda4
000ac1,814094
006113,b3f611
bd008d,f272a4
891e56,57ccb5
006111,3a0482
69b9c2,9000eb
0b3ece,a53f6a
000ae9,0953fb
8732d3,c9c420
000ae4,34a527
000ae5,94c429
006139,ae1579
36850c,f4dfbf
00612f,19c74a
00b115,891223
000ada,8e0e9b
00612d,d02e4b
00b118,05691a
00612b,86bfc7
00b117,47e997
824421,547269
006140,8979f3
000adc,843afd
000add,961a16
00b111,5aa610
fa232a,69e514
000adf,5fd523
132a46,a58cac
000af1,580860
577a97,c904a6
000af2,b2d6a0
2f9489,7c5bba
000af4,da4329
b31528,b1834d
2af407,4d07fc
006141,175752
006142,bee1c7
e93477,c8a1e4
000ad8,fbe948
000ad9,e94123
000ad3,149d25
000ad4,698212
000ad5,ee9b9d
006127,71e452
000ad6,94245c
006128,aa50c6
0c0513,c98551
00611d,336e31
00611e,6aafa3
00611b,4d9e24
00b101,ef30a3
000aca,2818a9
e37f6b,fa87c4
00b108,96ba56
12d4e7,346d17
e37f6f,08e14e
000acf,3e7d43
ce5ec9,d4a272
045708,886105
71b597,a74d7b
3443e3,de5cb0
000acb,47148d
000acc,792d3a
00b100,368771
000acd,70e6b8
000ae0,cbfe30
000ae1,f3d4d4
000ae2,877797
006134,a1d796
000ae3,fe9cdc
006135,970031
006132,701658
1f24b7,844569
000c0a,38eb74
000c0b,e4128f
e68444,879fa5
000c0c,b0fcc2
7164f1,fcf42c
873408,7dd69a
4b64d4,d3abab
c8c15f,1781e2
d64a00,6ad3c7
be7b77,a63fae
000c0e,a9c319
000c23,397716
9715c3,317695
000c24,46c56f
866dbf,0a5031
000c25,a2e3f8
000c26,c7212b
682468,94edb0
000c21,b71674
d364f4,732d3c
46b995,3e6f81
a235a5,96b27f
925b75,96ed11
0216a5,26b9e4
a9b667,1b49d7
744a01,622743
dc8fde,07c3a7
000c28,6c286b
000c29,632d7e
be45fe,aa8772
00b19b,36746a
00b19c,22fb83
b48eb9,808deb
5d4035,36489a
31e3e9,daa7cc
2c59cb,4c9a94
ca34a4,7c077b
000c12,fe2847
000c13,f6ec04
000c15,1b962e
17fa66,51d569
000c10,4998ca
445cfb,f951eb
000c17,4c1b5f
1774ff,a1d2f9
000c18,c832a2
000c19,ad4cc2
9d8f39,d62d2e
000c2c,168331
5c42a2,62ef14
000c2e,4b6fff
2c8f03,28b216
000c2f,699065
e44453,a5a5be
000c2a,1a8952
000c2b,ee7ff9
fbed9f,283df4
000c40,fd4b63
153615,147b93
a5709f,8a0526
000c45,ccdd20
6f6431,da13fa
000c41,c50990
000c42,c78c3c
f034a3,0c620e
98108c,b999c8
104632,ee2dd9
000c49,42a311
d3ea3e,346ced
000c1b,c668f3
a5c097,61ed50
000c1c,f1f444
000c1d,98aa85
2a19f2,27a489
000c1e,137679
d124db,4cbb31
5494f9,294aa4
000c1a,74873e
04a799,d47315
d1aa88,80b231
f94f72,3c08f8
26f068,462582
5ed655,2e0e8f
000c1f,280223
f94f76,0e0737
998b13,3ad6d8
000c35,1c8fa4
000c36,739f80
000c30,2bf680
000c31,f6c670
67addc,12a933
0c03b4,6a0c5b
7fcd8e,e8ecdd
000c38,b33b63
000c39,36f7a0
14bfa0,434ff8
00618c,701abc
00b16a,bb7af8
00618d,79401d
00618a,68f863
c8c19f,748776
00618b,28108d
181a1c,bd5639
4b9a68,4509e3
00b16f,938128
00b16c,4db44b
6f6417,756d69
00b178,9ad4be
00b179,0faf93
d364a4,3beba3
00618e,1b445c
00618f,6b6ed9
10468a,7d6730
96f5f6,10ade8
00b172,435436
00b170,31d2f4
b4dedf,aafae0
2615f4,284d13
a89fed,507d0c
00b177,bd0021
00b175,145144
6729b7,c94fb0
a57047,009209
00b15f,574a28
8b6a22,76593b
00617b,41781c
be7b0f,627d83
00617c,2426ed
7c9952,ba3f34
00b15e,894303
00617f,fc87cf
c0497e,bca17a
5d4073,e91196
00617d,fbf9b1
00617e,eb5455
de5011,04c6d7
eb841a,02c93a
006195,8d742d
00b162,fc20f5
00b160,215377
62bf55,a1ba4e
006190,1d6bdd
006191,b08258
36d559,2ac12e
00b164,e1e64e
d39a10,2ef67e
00b14e,9449eb
7a5971,04d98d
0f89e3,6690f7
f94f9c,14d61c
00b18e,3feb6d
00b18f,861d14
f2c581,474bc3
0fd9c1,6937d8
337f3b,14e194
000c01,69bb26
000c04,6e2275
ab5dab,e4d7ed
00b199,067718
00b197,8b6e61
7d091d,e96c30
000c05,1888ae
00b190,8e4cde
000c06,a0f001
000c07,57132e
00619d,2d7ee9
00b17b,c60574
00619e,9c37f0
00619b,bbe48b
d364ce,1772a1
ab5dc3,136c87
00619a,9dbf36
00b17d,43efbb
52da8f,0600f2
7c991f,f0af2a
4e14a5,818479
00b189,ec38ba
00619f,19bb9a
00b181,53286f
00b182,86cea1
54e4fa,986511
00b188,cf336b
00b186,a4b2a3
21ab8a,930343
f45eef,baa27f
bf409d,20aef6
00b180,fcb605
866da2,ba6082
ca33ed,701fa6
000c8e,461005
000c8f,486a86
89c30e,a82e6f
00b0c1,c3b257
7add76,82889d
00b0af,9f75a2
0060e7,3445ce
0060e8,5d9789
0060e5,d4a8ce
0060e6,91bf81
0060e3,17d2b7
0060e4,a66d9b
ccc3a2,169291
dbf057,a98d4f
171ec4,5ad890
000c9c,2944f5
000c9e,4ce920
0060dd,c28ff8
d46082,1c7626
000c9a,4dde84
0060dc,c2cdd5
0060d0,139175
000c7d,f24bb1
504b67,4c27f5
00b0b2,f9ab76
000c7e,dd54a2
000c7f,1e8e47
000c92,e3e0a8
0060d8,ca629a
891cf5,c4a1cf
0060d9,f47740
000c94,d1b5c8
0060d6,c20046
0696a4,539b66
000c95,e56114
5fd02f,841abd
0060d5,475e5e
3194bc,150ed4
000c90,76744f
33cf18,80f228
b55454,896113
0060d3,d0fed3
000c96,91c2e8
000c97,426fc1
000c98,e6dc5d
000c99,e17d81
bc076a,5d604c
000c8a,13b84d
000c8b,a0d138
0060cc,692b87
71ea7a,883c88
ce5f4f,7b0589
60d462,e3d8cd
0060ca,6cbcd6
00b0a8,1e065c
00b0e5,cd24c2
00b0e6,fb113f
00b0e4,364d77
b5a41f,573044
83d8a8,de2bd4
00b0ce,ef6b6d
657449,146194
0060fb,de0fba
f2fa19,b62073
0060fa,b3c2c4
907136,51f941
8c3048,f63fa3
00b0ca,f9b906
00b0d9,edf115
00b0d6,27fe35
00b0d7,1a8f8e
0060ff,2f48fe
0060f2,01c73e
ca33dd,104d81
00b0d1,862a85
0060f0,b5eb21
0060f1,16f7e6
000c9f,c363cf
28db4c,b510c5
00b0d5,fa0534
00b0bf,522162
744a6d,76e446
99db78,8b2d0c
0060f8,b83635
00b0bd,25a36d
abae4b,e79027
00b0be,0b624b
8148c7,195ebd
12d58f,a526e6
0060f6,fb5363
0060f7,bce35c
0060f4,33ca5e
0060f5,8e11ac
adee01,15ea95
a4c5fd,e19d6d
b24f16,7c4951
7e01af,55ad94
00b0bb,a4a8a6
00b0c7,d6d983
65742f,14634a
00b0c5,4c5ad3
00b0c6,30fbec
922768,7f3366
0060ee,e1a07a
5fd059,812a78
0060ef,45caea
c381fc,4eed8e
0060ed,37f46d
000c4e,a68615
54e5e4,d08a34
5505f2,040f41
000c4a,2e50d4
000c4b,2d68be
ad68ff,913884
000c4c,78d194
000c4d,c8031c
0060a5,057e49
000c60,42b144
0060a6,50de66
0060a3,8bc5db
0b93b8,1142a6
b219cc,9e9246
000c62,1a9724
0060a4,915fad
0060a1,a0e802
86399d,49cad1
000c68,7f3bd3
000c69,0b1fbb
7d91ba,841120
932110,39a81e
9bf2a7,e3b586
7654bc,927dd7
a5c08d,3d02d3
000c63,6ada99
0060a9,ad95e2
000c64,73a699
86bcae,6fbc5e
0060a7,53003d
000c66,c91eaa
0060a8,7e4b12
000c5a,0c1527
073c44,0e9d7f
000c3d,913f22
000c3e,c2af2e
000c3f,331ecc
000c3b,bf29e0
9b4e8b,3fe0d9
12d52d,75ccf7
d8a628,e15173
000c50,97d8cc
000c51,a86e37
23671c,4007c4
b24f35,16f8ee
000c56,3e965a
000c57,e9da5b
000c58,6b4a5e
000c59,13688f
873320,eb461f
000c52,78cc18
000c55,f488c1
5f809b,f429d6
d4b00c,3efcd0
000c6c,ccb9c0
000c6e,218e54
000c6f,991a55
000c82,49a085
0060c8,c3bf69
000c83,ffe4af
0060c5,db7875
0060c6,fb45ef
0060c3,c28004
0060c1,dc7fa2
000c80,c67513
0060c2,2521e9
000c89,f9b28a
5ccb1e,d743dc
000c87,5c07f3
0060c9,79d177
000c88,1e5551
3bd10a,138f11
0060bf,d9bcc1
000c7a,fb4a93
3e3107,f1c522
000c7b,0ddf06
0060bd,4441f8
000c7c,452d6a
28a5b7,d34853
0060be,b7f6d9
0060ba,6cee76
7ba1b4,567d7b
05516b,01ca2d
41797c,0c1b16
000c5b,465004
000c5e,564b60
000c70,537b15
000c71,0a4ddc
0060b7,769a3d
000c72,d2860f
7b51f1,42254d
0060b5,8d3458
0060b0,4759fe
b97dc5,9f2529
